Datelvl,Timelvl,Water Level,Datesf,Timesf,Corrected Out (cm/hr),Date time hum,Humidity,Date time  temp,Temperature
18/01/2024,0:00:00,12.81,18/01/2024,10:00:00,16.5030,18/01/2024 11:08,63.7,18/01/2024 11:06,18.1
18/01/2024,0:05:00,12.78,18/01/2024,10:30:00,18.5460,18/01/2024 11:22,64.4,18/01/2024 11:36,18.8
18/01/2024,0:10:00,12.77,18/01/2024,11:00:01,17.8620,18/01/2024 11:45,62.7,18/01/2024 12:03,19.1
18/01/2024,0:15:00,12.79,18/01/2024,11:30:01,19.7270,18/01/2024 11:54,66.9,18/01/2024 12:30,19.6
18/01/2024,0:20:00,12.78,18/01/2024,12:00:01,16.7170,18/01/2024 11:57,64.8,18/01/2024 12:52,19.4
18/01/2024,0:25:00,12.64,18/01/2024,12:30:01,17.9510,18/01/2024 12:08,62.4,18/01/2024 13:00,18.5
18/01/2024,0:30:00,12.63,18/01/2024,13:00:01,22.6410,18/01/2024 12:26,60.8,18/01/2024 13:00,17.6
18/01/2024,0:35:00,12.58,18/01/2024,13:30:00,15.6220,18/01/2024 12:52,60.2,18/01/2024 13:10,16.8
18/01/2024,0:40:00,12.61,18/01/2024,14:00:00,11.8970,18/01/2024 13:07,65.9,18/01/2024 13:35,17.3
18/01/2024,0:45:00,12.62,18/01/2024,14:30:01,20.2690,18/01/2024 13:03,63.6,18/01/2024 13:58,16.9
18/01/2024,0:50:00,12.54,18/01/2024,15:00:01,21.7130,18/01/2024 13:01,62.6,18/01/2024 14:12,17.8
18/01/2024,0:55:00,12.42,18/01/2024,15:30:00,21.2720,18/01/2024 13:12,74.7,18/01/2024 14:36,17.6
18/01/2024,1:00:00,12.44,18/01/2024,16:00:01,23.0860,18/01/2024 13:08,72.6,18/01/2024 14:51,18.6
18/01/2024,1:05:00,12.4,18/01/2024,16:30:00,22.9690,18/01/2024 13:08,70.9,18/01/2024 15:19,19
18/01/2024,1:10:00,12.41,18/01/2024,17:00:00,20.0580,18/01/2024 13:08,69.2,18/01/2024 15:46,19.1
18/01/2024,1:15:00,12.37,18/01/2024,17:30:01,18.3330,18/01/2024 13:06,68,18/01/2024 16:15,18.8
18/01/2024,1:20:00,12.45,18/01/2024,18:00:01,19.4410,18/01/2024 13:23,80.7,18/01/2024 16:35,19
18/01/2024,1:25:00,12.33,18/01/2024,18:30:01,18.3410,18/01/2024 13:23,78.8,18/01/2024 16:45,18.5
18/01/2024,1:30:00,12.33,18/01/2024,19:00:01,15.7780,18/01/2024 13:21,77.1,18/01/2024 17:15,18.2
18/01/2024,1:35:00,12.27,18/01/2024,19:30:01,15.2410,18/01/2024 13:23,83.9,18/01/2024 17:17,19
18/01/2024,1:40:00,12.21,18/01/2024,20:00:00,11.2110,18/01/2024 13:23,82.2,18/01/2024 17:44,17.8
18/01/2024,1:45:00,12.12,18/01/2024,20:30:00,8.2520,18/01/2024 13:23,85.6,18/01/2024 18:14,17.9
18/01/2024,1:50:00,11.88,18/01/2024,21:00:01,7.1070,18/01/2024 13:52,77.9,18/01/2024 18:39,17.8
18/01/2024,1:55:00,11.86,18/01/2024,21:30:01,6.3120,18/01/2024 13:43,75.7,18/01/2024 18:53,17.2
18/01/2024,2:00:00,11.91,18/01/2024,22:00:00,6.3550,18/01/2024 14:06,79.7,18/01/2024 19:23,17
18/01/2024,2:05:00,11.85,18/01/2024,22:30:00,5.8810,18/01/2024 14:27,76.8,18/01/2024 19:53,16.8
18/01/2024,2:10:00,11.92,18/01/2024,23:00:00,5.8050,18/01/2024 14:37,79.1,18/01/2024 20:22,16.6
18/01/2024,2:15:00,12,18/01/2024,23:30:01,5.7130,18/01/2024 14:31,74.2,18/01/2024 20:52,16.4
18/01/2024,2:20:00,12.04,19/01/2024,0:00:00,5.2390,18/01/2024 14:48,76.1,18/01/2024 21:13,15.6
18/01/2024,2:25:00,12.03,19/01/2024,0:30:00,5.1380,18/01/2024 14:49,78.5,18/01/2024 21:43,15.1
18/01/2024,2:30:00,11.97,19/01/2024,1:00:01,5.2190,18/01/2024 14:52,73.3,18/01/2024 22:11,14.7
18/01/2024,2:35:00,11.98,19/01/2024,1:30:01,4.9750,18/01/2024 14:52,71.6,18/01/2024 22:41,14.7
18/01/2024,2:40:00,12,19/01/2024,2:00:01,4.9370,18/01/2024 14:51,69.5,18/01/2024 23:10,14.3
18/01/2024,2:45:00,11.91,19/01/2024,2:30:01,5.0230,18/01/2024 14:57,67.4,18/01/2024 23:40,14
18/01/2024,2:50:00,11.89,19/01/2024,3:00:00,4.7760,18/01/2024 15:03,64.4,19/01/2024 0:10,13.7
18/01/2024,2:55:00,11.81,19/01/2024,3:30:00,4.9820,18/01/2024 15:08,61.6,19/01/2024 0:39,13.5
18/01/2024,3:00:00,11.82,19/01/2024,4:00:00,4.6970,18/01/2024 15:21,59.4,19/01/2024 1:09,13.5
18/01/2024,3:05:00,11.8,19/01/2024,4:30:01,4.7480,18/01/2024 15:48,58,19/01/2024 1:38,13.7
18/01/2024,3:10:00,11.81,19/01/2024,5:00:01,4.7950,18/01/2024 15:55,56.6,19/01/2024 2:08,13.9
18/01/2024,3:15:00,11.77,19/01/2024,5:30:00,4.9570,18/01/2024 16:15,57,19/01/2024 2:38,13.9
18/01/2024,3:20:00,11.8,19/01/2024,6:00:00,4.9440,18/01/2024 16:30,55.8,19/01/2024 3:07,14
18/01/2024,3:25:00,11.8,19/01/2024,6:30:00,5.1280,18/01/2024 17:02,55.7,19/01/2024 3:37,14.1
18/01/2024,3:30:00,11.81,19/01/2024,7:00:00,5.2550,18/01/2024 17:02,54.1,19/01/2024 4:07,14.1
18/01/2024,3:35:00,11.75,19/01/2024,7:30:00,5.2590,18/01/2024 17:29,56.3,19/01/2024 4:36,14
18/01/2024,3:40:00,11.72,19/01/2024,8:00:01,6.0820,18/01/2024 17:59,56.1,19/01/2024 5:06,13.8
18/01/2024,3:45:00,11.72,19/01/2024,8:30:01,9.1100,18/01/2024 18:21,54.7,19/01/2024 5:36,13.9
18/01/2024,3:50:00,11.67,19/01/2024,9:00:00,14.5310,18/01/2024 18:38,53.6,19/01/2024 6:05,14
18/01/2024,3:55:00,11.7,19/01/2024,9:30:00,16.7010,18/01/2024 18:51,55.3,19/01/2024 6:35,13.9
18/01/2024,4:00:00,11.64,19/01/2024,10:00:01,16.4650,18/01/2024 19:13,57.2,19/01/2024 7:05,14.3
18/01/2024,4:05:00,11.62,19/01/2024,10:30:01,17.8700,18/01/2024 19:42,57.3,19/01/2024 7:34,14.7
18/01/2024,4:10:00,11.57,19/01/2024,11:00:01,11.7330,18/01/2024 20:12,58.9,19/01/2024 8:04,14.9
18/01/2024,4:15:00,11.59,19/01/2024,11:30:00,13.5460,18/01/2024 20:35,60.2,19/01/2024 8:33,15.3
18/01/2024,4:20:00,11.55,19/01/2024,12:00:00,17.5810,18/01/2024 20:51,61.7,19/01/2024 8:59,15.7
18/01/2024,4:25:00,11.54,19/01/2024,12:30:01,14.5570,18/01/2024 21:09,64.3,19/01/2024 9:18,16.1
18/01/2024,4:30:00,11.6,19/01/2024,13:00:01,10.5940,18/01/2024 21:04,62.8,19/01/2024 9:30,15.6
18/01/2024,4:35:00,11.58,19/01/2024,13:30:00,14.1210,18/01/2024 21:14,66.6,19/01/2024 9:49,16.5
18/01/2024,4:40:00,11.57,19/01/2024,14:00:00,17.8120,18/01/2024 21:23,68.7,19/01/2024 9:53,16.9
18/01/2024,4:45:00,11.55,19/01/2024,14:30:00,16.6980,18/01/2024 21:41,71.3,19/01/2024 10:12,15.7
18/01/2024,4:50:00,11.55,19/01/2024,15:00:00,20.0750,18/01/2024 21:58,73.6,19/01/2024 10:36,16.7
18/01/2024,4:55:00,11.66,19/01/2024,15:30:00,20.4120,18/01/2024 22:10,76.1,19/01/2024 11:07,16.8
18/01/2024,5:00:00,11.66,19/01/2024,16:00:00,21.0490,18/01/2024 22:38,78.2,19/01/2024 11:35,16.5
18/01/2024,5:05:00,11.76,19/01/2024,16:30:01,17.9570,18/01/2024 23:05,79.8,19/01/2024 11:47,16.1
18/01/2024,5:10:00,11.84,19/01/2024,17:00:01,14.8610,18/01/2024 23:34,81.6,19/01/2024 12:15,17.4
18/01/2024,5:15:00,11.79,19/01/2024,17:30:01,15.6190,18/01/2024 23:51,83.7,19/01/2024 12:03,16.3
18/01/2024,5:20:00,11.79,19/01/2024,18:00:00,17.0000,19/01/2024 0:01,85.6,19/01/2024 12:45,17.6
18/01/2024,5:25:00,11.79,19/01/2024,18:30:00,16.4020,19/01/2024 0:23,87.8,19/01/2024 13:15,17.2
18/01/2024,5:30:00,11.81,19/01/2024,19:00:00,12.0310,19/01/2024 0:53,88.6,19/01/2024 13:40,17.3
18/01/2024,5:35:00,11.91,19/01/2024,19:30:00,10.5720,19/01/2024 1:22,88.7,19/01/2024 14:00,18.2
18/01/2024,5:40:00,11.98,19/01/2024,20:00:01,9.3280,19/01/2024 1:52,88.8,19/01/2024 14:29,18.5
18/01/2024,5:45:00,12.02,19/01/2024,20:30:00,7.9130,19/01/2024 2:22,88.9,19/01/2024 14:59,18.6
18/01/2024,5:50:00,12.08,19/01/2024,21:00:00,7.1110,19/01/2024 2:51,88.2,19/01/2024 15:27,18.5
18/01/2024,5:55:00,12.08,19/01/2024,21:30:01,6.4380,19/01/2024 3:21,88.1,19/01/2024 15:53,18.4
18/01/2024,6:00:00,12.06,19/01/2024,22:00:00,5.8860,19/01/2024 3:50,87.8,19/01/2024 16:18,17.9
18/01/2024,6:05:00,12.05,19/01/2024,22:30:00,5.9370,19/01/2024 4:17,86.9,19/01/2024 16:45,17.9
18/01/2024,6:10:00,12.06,19/01/2024,23:00:01,5.5150,19/01/2024 4:44,88.1,19/01/2024 17:12,18
18/01/2024,6:15:00,12.14,19/01/2024,23:30:01,5.2890,19/01/2024 5:14,88.8,19/01/2024 17:27,18.5
18/01/2024,6:20:00,12.21,20/01/2024,0:00:01,5.0000,19/01/2024 5:44,88.6,19/01/2024 17:54,18.1
18/01/2024,6:25:00,12.22,20/01/2024,0:30:01,4.9280,19/01/2024 6:13,88.1,19/01/2024 18:16,17.6
18/01/2024,6:30:00,12.23,20/01/2024,1:00:00,4.9560,19/01/2024 6:43,88.1,19/01/2024 18:35,17.4
18/01/2024,6:35:00,12.2,20/01/2024,1:30:01,4.8640,19/01/2024 7:12,88,19/01/2024 18:56,16.8
18/01/2024,6:40:00,12.19,20/01/2024,2:00:01,4.7920,19/01/2024 7:37,86.1,19/01/2024 19:26,16.6
18/01/2024,6:45:00,12.23,20/01/2024,2:30:01,5.0160,19/01/2024 8:02,84.6,19/01/2024 19:55,16.3
